973,AIPERALEDADELAMATA,0
974,HT,0
975,POLIVA,0
976,ACPT,0
977,CPICyVEpCA,0
978,AINDPTESANTACARA,0
979,PDGA,0
980,PEE,0
981,VCD,0
982,IPOU,0
983,AMI,0
984,AIVIC,0
985,ADEI-O,0
986,AG,0
987,AIARABATUZ,0
988,UC-Reagrupament,0
989,PUM+J,0
990,OSP,0
991,ICAR,0
992,MVTOFALANGISTADEESPAÑA,0
993,AMD,0
994,SCC,0
995,AMF,0
996,GRINP,0
997,PIN-NAVA,0
998,UAPA,0
999,ICA,0
1000,AROBLEDANAEINDPTES,0
1001,UPN,0
1002,AEVI,0
1003,ADICHIN,0
1004,UPH,0
1005,GICERCEDILLA,0
1006,UPG,0
1007,AtT,0
1008,AIAR,0
1009,AIT,0
1010,UPC,0
1011,AMeca,0
1012,UPA,0
1013,CLR-CLARO,0
1014,CxA,0
1015,APLI,0
1016,CxC,0
1017,AO,0
1018,NOV-A,0
1019,ULEG,0
1020,DIPA,0
1021,CxI,0
1022,UPT,0
1023,AIAB,0
1024,IPERSANETIELSNEGRALS,0
1025,AL,0
1026,APA,0
1027,PSIA,0
1028,GABIRIAAURRERA,0
1029,AEPARAMODEBOEDO,0
1030,AVV,0
1031,GRUPUNITATPLANENCA,0
1032,UP,0
1033,AVR,0
1034,AVS,0
1035,UM,0
1036,AINPHO,0
1037,MPT,0
1038,GINDPTEAGONCILLO,0
1039,AVI,0
1040,AIPLA,0
1041,SPCT,0
1042,UF,0
1043,AVA,0
1044,AVB,0
1045,UB,0
1046,ACC,0
1047,AEIC-V,0
1048,CIDELVALLEDESANTESTEBANDEDEIO,0
1049,ixO,0
1050,ACE,0
1051,AEIPLENTZIA,0
1052,CPCAD,0
1053,ACH,0
1054,ACO,0
1055,IDP,0
1056,IDN,0
1057,ACP,0
1058,ACISCLAS,0
1059,IDC,0
1060,elSAI,0
1061,NJ,0
1062,UPAC,0
1063,AEBARRIOPEDRO,0
1064,L'AGRUPACIO,0
1065,PAIS,0
1066,NC,0
1067,APTCe,0
1068,AISMH,0
1069,ALMAS,0
1070,VERDES,0
1071,appg,0
1072,GdO,0
1073,ADV,0
1074,AEOTROAIRE,0
1075,XCPT,0
1076,ALTVAECOLÓGICO-SOCIALISTA,0
1077,ADS,0
1078,RDS,0
1079,SdF,0
1080,J,0
1081,CORI,0
1082,ADB,0
1083,DNP,0
1084,PSM-EN,0
1085,CpC(PSM-EN.ENTESA.PSOE),0
1086,JUNTS,0
